jugador;equipo;partidos;minutos;puntos;rebotes;asistencias;robos;tapones
ADAM HANGA;BKN;30;838;317;136;69;36;22
ANDREA BARGNANI;BKN;15;241;132;27;6;1;8
CHASE BUDINGER;BKN;26;480;163;93;29;15;4
ILIMANE DIOP;BKN;30;415;120;81;14;8;15
JAKA BLAZIC;BKN;30;425;142;66;14;12;0
JOHANNES VOIGTMANN;BKN;30;699;301;214;52;18;10
JOSH AKOGNON;BKN;5;58;19;3;6;2;0
KIM TILLIE;BKN;29;557;209;107;31;22;6
NICOLAS LAPROVITTOLA;BKN;11;103;32;9;24;4;0
PABLO PRIGIONI;BKN;3;NA;0;5;6;2;0
RAFA LUZ;BKN;29;229;62;24;44;12;1
RODRIGUE BEAUBOIS;BKN;27;550;314;42;41;10;13
SHANE LARKIN;BKN;30;873;393;85;171;41;8
TADAS SEDEKERSKIS;BKN;13;65;17;8;2;1;0
TORNIKE SHENGELIA;BKN;21;438;224;89;29;15;5
TREVOR COONEY;BKN;1;NA;0;0;1;0;0
ALEKSEJ NIKOLIC;BRO;10;104;33;8;18;6;0
DANIEL THEIS;BRO;30;592;287;137;22;20;28
DARIUS MILLER;BRO;30;814;366;82;61;18;13
ELIAS HARRIS;BRO;3;15;7;1;0;1;1
FABIEN CAUSEUR;BRO;29;733;287;93;63;23;2
JANIS STRELNIEKS;BRO;22;552;258;49;76;14;1
JEREL MCNEAL;BRO;15;225;59;28;17;11;1
LEON RADOSEVIC;BRO;28;451;170;74;18;10;9
LOUIS OLINDE;BRO;1;8;2;1;1;0;0
LUCCA STAIGER;BRO;19;124;74;17;4;3;0
MAODO LO;BRO;26;283;139;30;32;7;3
NICOLO MELLI;BRO;30;877;346;222;69;22;20
NIKOS ZISIS;BRO;30;722;232;59;136;16;0
PATRICK HECKMANN;BRO;28;349;83;34;22;8;0
VLADIMIR VEREMEENKO;BRO;25;200;54;36;8;5;4
AARON JACKSON;CSK;29;619;209;43;103;20;0
ANDREY VORONTSEVICH;CSK;30;583;234;76;30;14;13
CORY HIGGINS;CSK;27;542;246;55;42;21;3
DMITRY KULAGIN;CSK;17;176;67;26;20;5;1
JAMES AUGUSTINE;CSK;29;478;169;130;12;20;18
JEFF AYRES;CSK;4;37;24;19;0;0;3
JOEL FREELAND;CSK;14;76;22;16;1;3;1
KYLE HINES;CSK;30;598;250;128;18;22;14
MIKHAIL KULAGIN;CSK;6;36;22;2;0;2;1
MILOS TEODOSIC;CSK;24;696;386;54;173;13;1
NANDO DECOLO;CSK;23;630;463;71;94;23;1
NIKITA KURBANOV;CSK;30;590;189;120;35;17;14
SEMEN ANTONOV;CSK;25;217;52;29;8;9;9
VICTOR KHRYAPA;CSK;28;379;106;97;52;26;10
VITALY FRIDZON;CSK;30;393;180;38;24;17;10
BORISA SIMANIC;CZV;3;17;2;3;1;0;0
BRANKO LAZIC;CZV;30;709;131;65;10;42;3
CHARLES JENKINS;CZV;30;783;282;58;80;62;3
DEON THOMPSON;CZV;13;136;56;19;6;4;4
LUKA MITROVIC;CZV;28;440;116;65;38;13;3
MARKO GUDURIC;CZV;29;545;225;62;62;16;2
MARKO SIMONOVIC;CZV;30;802;378;107;21;24;4
MILKO BJELICA;CZV;30;469;223;89;34;14;8
NATE WOLTERS;CZV;27;407;192;57;59;18;1
NEMANJA DANGUBIC;CZV;24;464;126;47;16;15;3
NIKOLA REBIC;CZV;2;15;2;1;2;0;0
OGNJEN DOBRIC;CZV;13;69;21;6;2;4;0
OGNJEN KUZMIC;CZV;30;621;282;209;30;30;18
STEFAN JOVIC;CZV;23;550;173;48;129;29;0
ADRIEN MOERMAN;DDI;29;675;253;155;27;26;6
ANTE ZIZIC;DDI;16;350;132;109;4;3;12
BIRKAN BATUK;DDI;28;366;85;51;12;11;2
BRAD WANAMAKER;DDI;30;988;485;97;142;47;3
DAIRIS BERTANS;DDI;28;449;186;20;38;5;1
ENDER ARSLAN;DDI;4;23;6;1;2;0;0
FURKAN ALDEMIR;DDI;27;287;48;74;7;1;13
JAMES ANDERSON;DDI;30;668;288;98;42;19;10
LUKE HARANGODY;DDI;25;302;85;63;10;3;6
MARCUS SLAUGHTER;DDI;9;158;42;26;5;7;4
MEHMET YAGMUR;DDI;11;29;3;1;3;1;0
METIN TUREN;DDI;1;NA;0;0;0;0;0
OGUZ SAVAS;DDI;8;51;19;12;4;0;1
OKBEN ULUBAY;DDI;2;NA;0;0;0;0;0
SCOTTIE WILBEKIN;DDI;27;670;304;46;88;41;1
SEMIH ERDEN;DDI;10;147;40;31;4;1;6
WILL CLYBURN;DDI;30;857;397;163;41;29;9
ALESSANDRO GENTILE;EA7;9;206;97;27;22;10;3
ANDREA CINCIARINI;EA7;23;425;127;55;50;15;2
AWUDU ABASS;EA7;23;368;105;44;12;9;6
BRUNO CERELLA;EA7;5;49;8;2;4;0;0
DAVIDE PASCOLO;EA7;22;334;139;61;15;13;8
JAMEL MCLEAN;EA7;30;622;261;126;43;21;6
KRUNOSLAV SIMON;EA7;21;580;230;76;81;21;4
MANTAS KALNIETIS;EA7;26;505;188;59;76;20;2
MILAN MACVAN;EA7;28;627;234;124;40;12;1
