jugador;equipo;partidos;minutos;puntos;rebotes;asistencias
AARON JACKSON;CSK;29;619;209;43;103
ANDREY VORONTSEVICH;CSK;30;583;234;76;30
CORY HIGGINS;CSK;27;542;246;55;42
DMITRY KULAGIN;CSK;17;176;67;26;20
JAMES AUGUSTINE;CSK;29;478;169;130;12
JEFF AYRES;CSK;4;  ;24;19;0
JOEL FREELAND;CSK;14;  ;22;16;1
KYLE HINES;CSK;30;598;250;128;18
MIKHAIL KULAGIN;CSK;6;  ;22;2;0
MILOS TEODOSIC;CSK;24;696;386;54;173
NANDO DECOLO;CSK;23;630;463;71;94
NIKITA KURBANOV;CSK;30;590;189;120;35
SEMEN ANTONOV;CSK;25;217;52;29;8
VICTOR KHRYAPA;CSK;28;379;106;97;52
VITALY FRIDZON;CSK;30;393;180;38;24
AHMET DUVERIOGLU;FNB;7;56;  ;12;1
ANTHONY BENNETT;FNB;8;61;  ;9;1
BARIS HERSEK;FNB;3;12;4;  ;0
BERK UGURLU;FNB;7;30;2;  ;  
BOBBY DIXON;FNB;29;765;329;81;93
BOGDAN BOGDANOVIC;FNB;17;456;232;52;66
EGEHAN ARNA;FNB;1;  ;0;0;0
EKPE UDOH;FNB;26;821;308;199;50
JAMES NUNNALLY;FNB;30;544;176;60;55
JAN VESELY;FNB;29;704;292;130;40
KOSTAS SLOUKAS;FNB;24;626;245;46;108
LUIGI DATOME;FNB;28;701;269;110;32
MELIH MAHMUTOGLU;FNB;17;205;79;10;11
NIKOLA KALINIC;FNB;28;652;187;85;37
PERO ANTIC;FNB;27;398;123;71;18
YORDAN MINCHEV;FNB;2;  ;0;2;0
DANIEL HACKETT;OLY;11;160;55;17;18
DIMITRIOS AGRAVANIS;OLY;18;192;74;37;2
DOMINIC WATERS;OLY;15;182;75;12;25
ERICK GREEN;OLY;29;599;291;56;29
GEORGIOS PRINTEZIS;OLY;25;626;324;126;30
IOANNIS ATHINAIOU;OLY;9;42;3;3;  
IOANNIS PAPAPETROU;OLY;29;465;128;67;11
KHEM BIRCH;OLY;30;547;220;180;11
KOSTAS PAPANIKOLAOU;OLY;30;672;245;139;42
MATT LOJESKI;OLY;26;557;258;80;42
NIKOLA MILUTINOV;OLY;29;359;124;95;16
PATRIC YOUNG;OLY;24;237;68;58;2
VANGELIS MANTZARIS;OLY;30;706;165;81;66
VASSILIS SPANOULIS;OLY;26;680;308;48;157
VASSILIS TOLIOPOULOS;OLY;2;  ;0;0;0
ANDRES NOCIONI;RMB;14;87;32;9;  
ANTHONY RANDOLPH;RMB;28;581;292;149;31
DONTAYE DRAPER;RMB;23;339;69;28;39
FELIPE REYES;RMB;27;358;156;82;20
GUSTAVO AYON;RMB;30;597;283;148;69
JAYCEE CARROLL;RMB;30;517;261;50;24
JEFFERY TAYLOR;RMB;24;360;108;46;14
JONAS MACIULIS;RMB;25;432;159;60;19
LUKA DONCIC;RMB;29;566;240;128;125
OTHELLO HUNTER;RMB;30;523;240;143;19
RUDY FERNANDEZ;RMB;26;641;192;76;91
SERGIO LLULL;RMB;27;740;434;54;159
TREY THOMPKINS;RMB;21;261;119;47;4
